country,country_long,region,continent,latitude,longitude,rural_land,urban_land,population,rural_population,urban_population,democracy_score,democracy_type
Afghanistan,Islamic State of Afghanistan,Southern Asia,Asia,33.0,65.0,636173.0,3993.84,41128771,30181937,10946834,2.97,Authoritarian
Albania,Republic of Albania,Southern Europe,Europe,41.0,20.0,27331.6,827.694,2775634,1004807,1770827,5.98,Hybrid regime
Algeria,People's Democratic Republic of Algeria,Northern Africa,Africa,28.0,3.0,2305480.0,9357.1,44903225,11328186,33575039,3.5,Authoritarian
Andorra,Principality of Andorra,Southern Europe,Europe,42.5,1.5,409.497,30.9358,79824,9730,70094,0.0,Unknown
Angola,People's Republic of Angola,Middle Africa,Africa,-12.5,18.5,1251000.0,2991.35,35588987,11359649,24229338,3.62,Authoritarian
Antigua and Barbuda,Antigua and Barbuda,Caribbean,Americas,17.05,-61.8,396.335,31.8633,93763,70935,22828,0.0,Unknown
Argentina,Argentine Republic,South America,Americas,-34.0,-64.0,2735390.0,11432.7,46234830,3538352,42696478,7.02,Flawed democracy
Armenia,Republic of Armenia,Western Asia,Asia,40.0,45.0,27342.2,922.335,2780469,1012841,1767628,4.79,Hybrid regime
Australia,Commonwealth of Australia,Australia and New Zealand,Oceania,-27.0,133.0,7650420.0,11946.0,25978935,3510274,22468661,9.09,Full democracy
Austria,Republic of Austria,Western Europe,Europe,47.33333333,13.33333333,80030.9,2973.71,9042528,3684288,5358240,8.29,Full democracy
Azerbaijan,Republic of Azerbaijan,Western Asia,Asia,40.5,47.5,82218.7,2589.86,10175016,4357959,5817057,2.65,Authoritarian
Bahrain,Kingdom of Bahrain,Western Asia,Asia,26.0,50.55,335.707,330.292,1472233,151007,1321226,2.71,Authoritarian
Bangladesh,People's Republic of Bangladesh,Southern Asia,Asia,24.0,90.0,79328.9,56970.0,171186372,103206552,67979820,5.57,Hybrid regime
Barbados,Barbados,Caribbean,Americas,13.16666666,-59.53333333,248.527,187.588,281635,193416,88219,0.0,Unknown
Belarus,Republic of Belarus,Eastern Europe,Europe,53.0,28.0,201456.0,2882.6,9208701,1811720,7396981,3.13,Authoritarian
Belgium,Kingdom of Belgium,Western Europe,Europe,50.83333333,4.0,22780.5,7730.88,11669446,215535,11453911,7.78,Flawed democracy
Belize,Belize,Central America,Americas,17.25,-88.75,21708.4,122.9,405272,217242,188030,0.0,Unknown
Benin,Republic of Benin,Western Africa,Africa,9.5,2.25,113691.0,2005.91,13352864,6738656,6614208,5.74,Hybrid regime
Bhutan,Kingdom of Bhutan,Southern Asia,Asia,27.5,90.5,39040.7,28.6028,782455,440632,341823,5.3,Hybrid regime
Bolivia,Plurinational State of Bolivia,South America,Americas,-17.0,-65.0,1059510.0,1767.52,12224110,3565773,8658337,5.7,Hybrid regime
Bosnia and Herzegovina,Bosnia and Herzegovina,Southern Europe,Europe,44.0,18.0,49134.7,1641.93,3233526,1621904,1611622,4.98,Hybrid regime
Botswana,Republic of Botswana,Southern Africa,Africa,-22.0,24.0,572887.0,804.346,2630296,730591,1899705,7.81,Flawed democracy
Brazil,Federative Republic of Brazil,South America,Americas,-10.0,-55.0,8385500.0,45853.3,215313498,26795765,188517733,6.97,Flawed democracy
Brunei,Brunei Darussalam,South-Eastern Asia,Asia,4.5,114.66666666,5571.88,199.172,449002,94946,354056,0.0,Unknown
