id,name_in_english,name_in_spanish,countries,country_code,degree_of_endangerment,number_of_speakers,latitude,longitude
1022,South Italian,napolitano-calabrés,Italy,ITA,Vulnerable,7500000.0,40.9798,15.249
1023,Sicilian,siciliano,Italy,ITA,Vulnerable,5000000.0,37.4399,14.5019
383,Low Saxon,bajo sajón,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS",Vulnerable,4800000.0,53.4029,10.3601
335,Belarusian,bielorruso,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",Vulnerable,4000000.0,53.956,27.5756
382,Lombard,lombardo,"Italy, Switzerland","ITA, CHE",Definitely endangered,3500000.0,45.7215,9.3273
405,Romani,romaní,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE",Definitely endangered,3500000.0,46.3165,22.3681
2211,Yiddish (Israel),yiddish (Israel),Israel,ISR,Definitely endangered,3000000.0,32.0833,34.8333
1586,Gondi,gondí,India,IND,Vulnerable,2713790.0,19.5804,80.4418
1020,Limburgian-Ripuarian,limburgués-ripuarino,"Germany, Belgium, Netherlands","DEU, BEL, NLD",Vulnerable,2600000.0,50.7781,6.0864
1943,Quechua of Southern Bolivia,quechua boliviano meridional,Bolivia (Plurinational State of),BOL,Vulnerable,2300000.0,-18.0675,-65.7641
1565,Kumaoni,cumauní,"India, Nepal","IND, NPL",Vulnerable,2003783.0,29.4778,79.8486
755,Aymara,aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER",Vulnerable,2000000.0,-16.5835,-68.302
349,Emilian-Romagnol,emiliano,"Italy, San Marino","ITA, SMR",Definitely endangered,2000000.0,44.127,12.0739
399,Piedmontese,piamontés,Italy,ITA,Definitely endangered,2000000.0,45.2013,7.8662
1021,Venetan,veneciano,"Croatia, Italy, Slovenia","HRV, ITA, SVN",Vulnerable,2000000.0,45.4601,12.1948
1985,Zazaki,zaza,Turkey,TUR,Vulnerable,2000000.0,38.8824,40.4846
1591,Kurux (India),kuruj (India),India,IND,Vulnerable,1751489.0,22.1467,85.2758
2065,Tamajeq,tamacheq tahoua,Niger,NER,Vulnerable,1750000.0,17.2352,8.0859
1585,Tulu,tulú,India,IND,Vulnerable,1722768.0,12.0178,75.7067
1556,Kangdi,kangdi,India,IND,Definitely endangered,1700000.0,32.4356,76.1242
410,Scots,escocés,United Kingdom of Great Britain and Northern Ireland,GBR,Vulnerable,1500000.0,56.2189,-3.7683
1026,Torlak,torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB",Vulnerable,1500000.0,42.9644,22.1374
1476,West Flemish,flamenco occidental,"Belgium, France, Netherlands","BEL, FRA, NLD",Vulnerable,1500000.0,51.0275,3.0541
334,Bashkir,baskir,Russian Federation,RUS,Vulnerable,1379727.0,54.7309,55.9863
1067,Chechen,checheno,Russian Federation,RUS,Vulnerable,1331844.0,43.1971,45.7031
338,Chuvash,chuvacho,Russian Federation,RUS,Vulnerable,1325382.0,56.1394,47.2412
1227,Meithei,mitei,India,IND,Vulnerable,1250000.0,24.7667,93.8946
1114,Tamang,tamang,"India, Nepal","IND, NPL",Vulnerable,1196639.0,27.7365,85.6858
1013,Quechua of Cuzco,quechua cuzqueño,Peru,PER,Vulnerable,1115000.0,-13.4537,-72.0098
1024,Eastern Slovak,eslovaco oriental,"Slovakia, Ukraine","SVK, UKR",Vulnerable,1000000.0,48.8068,21.7968
377,Ligurian,ligur,"France, Italy, Monaco","FRA, ITA, MCO",Definitely endangered,1000000.0,44.5748,8.7011
407,Rusyn,rutenio,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",Vulnerable,1000000.0,48.4437,22.9394
1515,Talysh,talisí,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",Vulnerable,1000000.0,38.814,48.6804
1577,Kui,kui,India,IND,Vulnerable,916222.0,19.5908,83.9575
1231,Khasi,jasí,India,IND,Vulnerable,912000.0,25.691,91.8676
1229,Bodo,bodo,India,IND,Vulnerable,900000.0,26.7554,92.8674
337,Campidanese,sardo campidanés,Italy,ITA,Definitely endangered,900000.0,39.2991,8.9868
